text,created_at,id_str
Robert Mueller came to the Oval Office (along with other potential candidates) seeking to be named the Director of the FBI. He had already been in that position for 12 years I told him NO. The next day he was named Special Counsel - A total Conflict of Interest. NICE!,05-30-2019 15:34:11,1134120831389392896
“Comey and Brennan are turning on each other.”  @kilmeade,05-30-2019 14:41:24,1134107544681455616
Congressman John Ratcliffe “The Trump Campaign clearly did not conspire or collude.” @FoxNews,05-30-2019 13:41:43,1134092525218590721
Russia Russia Russia! That’s all you heard at the beginning of this Witch Hunt Hoax...And now Russia has disappeared because I had nothing to do with Russia helping me to get elected. It was a crime that didn’t exist. So now the Dems and their partner the Fake News Media.....,05-30-2019 11:57:47,1134066371510378501
....say he fought back against this phony crime that didn’t exist this horrendous false accusation and he shouldn’t fight back he should just sit back and take it. Could this be Obstruction? No Mueller didn’t find Obstruction either. Presidential Harassment!,05-30-2019 11:57:47,1134066372584062976
Russia Russia Russia! That’s all you heard at the beginning of this Witch Hunt Hoax...And now Russia has disappeared because I had nothing to do with Russia helping me to get elected. It was a crime that didn’t exist. So now the Dems and their partner the Fake News Media.....,05-30-2019 11:38:15,1134061454250975232
....say he fought back against this phony crime that didn’t exist this horrendous false acquisition and he shouldn’t fight back he should just sit back and take it. Could this be Obstruction? No Mueller didn’t find Obstruction either. Presidential Harassment!,05-30-2019 11:38:15,1134061455702142976
The Greatest Presidential Harassment in history. After spending $40000000 over two dark years with unlimited access people resources and cooperation highly conflicted Robert Mueller would have brought charges if he had ANYTHING but there were no charges to bring!,05-30-2019 11:21:45,1134057302821150722
I was not informed about anything having to do with the Navy Ship USS John S. McCain during my recent visit to Japan. Nevertheless @FLOTUS and I loved being with our great Military Men and Women - what a spectacular job they do!,05-30-2019 00:59:43,1133900762709463040
Great show tonight @seanhannity you really get it (9:00 P.M. @FoxNews) that’s why you’re Number One (by far)! Also please tell Mark Levin congrats on having the Number One book!,05-30-2019 00:46:39,1133897476497448960
How do you impeach a Republican President for a crime that was committed by the Democrats? WITCH-HUNT!,05-30-2019 00:32:06,1133893813611782144
RT @PressSec: White House Statement on Mueller statement today: https://t.co/f5TXzf3Qpd,05-29-2019 17:23:55,1133786055948361728
RT @kayleighmcenany: “Now it’s time to turn to the origins of the Russia hoax and get to the bottom of why the Trump campaign was spied on…,05-29-2019 17:21:00,1133785323790639105
Nothing changes from the Mueller Report. There was insufficient evidence and therefore in our Country a person is innocent. The case is closed! Thank you.,05-29-2019 15:37:21,1133759237136494592
...If Alabama does not elect a Republican to the Senate in 2020 many of the incredible gains that we have made during my Presidency may be lost including our Pro-Life victories. Roy Moore cannot win and the consequences will be devastating....Judges and Supreme Court Justices!,05-29-2019 11:40:31,1133699637678870528
Republicans cannot allow themselves to again lose the Senate seat in the Great State of Alabama. This time it will be for Six Years not just Two. I have NOTHING against Roy Moore and unlike many other Republican leaders wanted him to win. But he didn’t and probably won’t.....,05-29-2019 11:40:30,1133699631857262593
RT @realDonaldTrump: GOD BLESS THE USA🇺🇸 https://t.co/Y8HRT6wnWZ,05-29-2019 03:14:26,1133572279324037121
THANK YOU JAPAN!🇺🇸🇯🇵 https://t.co/ZvzEL8iQsi,05-29-2019 00:33:37,1133531809118076929
Back from Japan after a very successful trip. Big progress on MANY fronts. A great country with a wonderful leader in Prime Minister Abe!,05-29-2019 00:22:51,1133529099530571777
I was actually sticking up for Sleepy Joe Biden while on foreign soil. Kim Jong Un called him a “low IQ idiot” and many other things whereas I related the quote of Chairman Kim as a much softer “low IQ individual.” Who could possibly be upset with that?,05-28-2019 21:58:55,1133492876296511491
Just spoke to Governor @AsaHutchinson of the Great State of Arkansas to inform him that FEMA and the Federal Government will do whatever is necessary to help out with what has turned out to be Record Flooding. Asa and local officials are doing a great job!,05-28-2019 21:24:32,1133484222423941120
.@GovMikeDeWine just updated me on the devastation from the many tornadoes that struck Ohio early this morning. My Administration fully supports the people of the great State of Ohio as they begin the cleanup and recovery.,05-28-2019 19:40:20,1133457998586818561
Storms overnight across Ohio and many other States were very dangerous and damaging. My team continues to update me with reports from emergency managers in the States affected. Listen to your local officials and be resilient. We are with you!,05-28-2019 19:38:00,1133457412428640256
GOD BLESS THE USA🇺🇸 https://t.co/Y8HRT6wnWZ,05-28-2019 12:39:41,1133352140431216640
RT @kantei: 【SNS投稿】「本日、トランプ大統領と共に、海上自衛隊の護衛艦「かが」を訪問しました。日米両国の首脳が揃って、自衛隊、米軍を激励するのは、史上初めてのことです。」総理メッセージの続きはhttps://t.co/HLWIQcmaH7https://t.…,05-28-2019 12:07:36,1133344064844120064
Spoke with @GovStitt of Oklahoma last night from Japan because of the devastating tornadoes. Told him that @FEMA and the federal government are fully behind him and the great people of Oklahoma.,05-28-2019 08:11:10,1133284566632787969
